crash_id,crash_datetime,crash_date,latitude,longitude,n_crash_reports,contains_fatality_words,contains_pedestrian_words,contains_matatu_words,contains_motorcycle_words,hour,month,year,day_of_week,severity,road_user_type
81,2018-06-07 16:29:00,2018-06-07,-1.372598,36.920491,1,0,0,0,0,16,6,2018,Thursday,Non-Fatal,Other
82,2018-06-07 18:52:00,2018-06-07,-1.190474,36.739465,1,0,0,0,0,18,6,2018,Thursday,Non-Fatal,Other
83,2018-06-07 21:28:00,2018-06-07,-1.136438,36.97028,1,0,0,0,0,21,6,2018,Thursday,Non-Fatal,Other
84,2018-06-08 05:17:00,2018-06-08,-1.525206,37.121076,1,0,0,0,0,5,6,2018,Friday,Non-Fatal,Other
85,2018-06-08 06:41:00,2018-06-08,-1.343014,36.765581,1,0,0,0,0,6,6,2018,Friday,Non-Fatal,Other
86,2018-06-08 07:06:00,2018-06-08,-1.332986,36.80054,1,0,0,0,0,7,6,2018,Friday,Non-Fatal,Other
87,2018-06-08 07:28:00,2018-06-08,-1.039962,37.068619,1,0,0,1,0,7,6,2018,Friday,Non-Fatal,Matatu
88,2018-06-08 07:29:00,2018-06-08,-1.317394,36.812597,1,0,0,0,0,7,6,2018,Friday,Non-Fatal,Other
89,2018-06-08 07:44:00,2018-06-08,-1.328397,36.800541,1,0,0,0,0,7,6,2018,Friday,Non-Fatal,Other
90,2018-06-08 10:43:00,2018-06-08,-1.260901,36.71664,1,0,0,0,0,10,6,2018,Friday,Non-Fatal,Other
91,2018-06-08 11:28:00,2018-06-08,-1.272665,36.808979,1,0,0,0,0,11,6,2018,Friday,Non-Fatal,Other
92,2018-06-08 13:05:00,2018-06-08,-1.27496,36.818027,1,0,0,0,0,13,6,2018,Friday,Non-Fatal,Other
93,2018-06-08 15:30:00,2018-06-08,-1.492577,37.055126,1,0,0,0,0,15,6,2018,Friday,Non-Fatal,Other
94,2018-06-09 08:12:00,2018-06-09,-1.299726,36.824457,1,0,0,1,0,8,6,2018,Saturday,Non-Fatal,Matatu
95,2018-06-09 08:38:00,2018-06-09,-1.305172,36.754582,1,0,0,0,0,8,6,2018,Saturday,Non-Fatal,Other
96,2018-06-09 10:54:00,2018-06-09,-1.292437,36.805122,1,0,0,0,1,10,6,2018,Saturday,Non-Fatal,Motorcycle
97,2018-06-09 11:56:00,2018-06-09,-1.252175,36.959263,1,0,0,0,0,11,6,2018,Saturday,Non-Fatal,Other
