crash_id,crash_datetime,crash_date,latitude,longitude,n_crash_reports,contains_fatality_words,contains_pedestrian_words,contains_matatu_words,contains_motorcycle_words
173,6/27/2018 13:14,6/27/2018,-1.238104,36.8439875,1,0,0,0,0
174,6/27/2018 13:20,6/27/2018,-1.2948505,36.787387,1,0,0,0,0
175,6/28/2018 16:57,6/28/2018,-1.2610945,36.841869,1,0,0,0,0
176,6/28/2018 17:03,6/28/2018,-1.2848035,36.8204285,1,0,0,0,0
177,6/28/2018 19:09,6/28/2018,-1.263175,36.758835,1,0,0,1,0
178,6/29/2018 7:07,6/29/2018,-1.2058225,36.8320265,1,0,0,0,0
179,6/29/2018 7:46,6/29/2018,-1.269846,36.807199,1,0,0,0,0
180,6/29/2018 12:35,6/29/2018,-1.3328455,36.7816645,1,0,0,0,1
181,6/29/2018 18:03,6/29/2018,-1.263873,36.7494195,1,0,0,0,0
182,6/30/2018 6:56,6/30/2018,-1.372794,36.92026,1,0,0,0,0
183,6/30/2018 8:23,6/30/2018,-1.205315,36.778044,1,0,0,0,0
184,6/30/2018 9:08,6/30/2018,-1.2184465,36.892509,1,0,0,0,0
185,6/30/2018 9:25,6/30/2018,-1.2263555,36.883683,1,0,0,0,0
186,6/30/2018 10:03,6/30/2018,-1.037827,37.0636,1,0,0,0,0
187,6/30/2018 10:17,6/30/2018,-1.201342,36.908912,1,0,0,0,0
188,6/30/2018 11:10,6/30/2018,-1.2488345,36.86568,1,0,0,0,0
189,6/30/2018 13:37,6/30/2018,-1.291326,36.824422,1,0,0,0,0
190,6/30/2018 15:12,6/30/2018,-1.2184465,36.892509,1,0,0,0,0
191,6/30/2018 16:07,6/30/2018,-1.210902,36.907413,1,0,0,0,0
192,7/1/2018 7:18,7/1/2018,-1.259024,36.778396,1,0,0,0,0
193,7/1/2018 17:58,7/1/2018,-1.259304,36.7858145,1,0,0,0,0
194,7/1/2018 21:40,7/1/2018,-1.2046095,36.77569,1,0,0,0,0
195,7/1/2018 23:56,7/1/2018,-1.3251365,36.8487345,1,0,0,0,0
196,7/2/2018 5:23,7/2/2018,-1.3301285,36.8709395,1,0,0,0,0
197,7/2/2018 7:00,7/2/2018,-1.227172,36.8858135,1,0,0,0,0
198,7/2/2018 7:09,7/2/2018,-1.477136,37.038044,1,1,0,0,0
199,7/2/2018 7:52,7/2/2018,-1.3235715,36.8478045,1,0,0,0,0
200,7/3/2018 7:18,7/3/2018,-1.280503,36.814531,1,0,0,0,0
201,7/3/2018 10:49,7/3/2018,-0.58228,37.092066,1,0,0,0,0
202,7/3/2018 20:41,7/3/2018,-1.2263555,36.883683,1,0,0,0,0
203,7/4/2018 6:15,7/4/2018,-1.3234565,36.8993865,1,0,0,0,0
204,7/4/2018 13:16,7/4/2018,-2.058049,37.430015,1,0,0,0,0
205,7/4/2018 16:53,7/4/2018,-2.079876,37.473017,1,0,0,0,0
206,7/5/2018 5:59,7/5/2018,-1.3294435,36.854464,1,0,0,0,0
207,7/5/2018 7:10,7/5/2018,-1.264314,36.7459225,1,0,0,0,0
208,7/5/2018 8:23,7/5/2018,-2.079876,37.473017,1,0,0,0,0
209,7/5/2018 9:02,7/5/2018,-1.2594365,36.776683,1,0,0,0,0
210,7/5/2018 10:03,7/5/2018,-1.263683,36.983035,1,0,0,0,0
211,7/5/2018 10:53,7/5/2018,-1.32147,36.903874,1,0,0,0,0
212,7/5/2018 14:47,7/5/2018,-1.259459,36.844829,1,0,0,1,0
213,7/5/2018 17:35,7/5/2018,-1.327018,36.845147,1,0,0,0,0
214,7/6/2018 6:33,7/6/2018,-2.079876,37.473017,1,0,0,0,0
215,7/6/2018 6:35,7/6/2018,-1.264048,36.754254,1,0,0,1,0
216,7/6/2018 8:54,7/6/2018,-1.259459,36.844829,1,0,0,0,0
217,7/6/2018 11:25,7/6/2018,-1.313309,36.813301,1,0,0,0,0
218,7/6/2018 16:09,7/6/2018,-1.2752025,36.8230845,1,0,0,0,0
219,7/6/2018 22:49,7/6/2018,-1.181013,36.9382305,1,0,0,0,0
220,7/8/2018 3:01,7/8/2018,-1.43382,36.9664145,1,0,0,0,0
221,7/8/2018 8:19,7/8/2018,-1.393574,36.939563,1,1,0,0,0
222,7/8/2018 9:43,7/8/2018,-1.3193275,36.813198,1,0,0,0,0
223,7/8/2018 19:00,7/8/2018,-1.172129,36.947516,1,0,0,0,0
224,7/8/2018 19:46,7/8/2018,-2.211075,37.714634,1,0,0,0,0
225,7/8/2018 20:28,7/8/2018,-1.2261955,36.883694,1,0,0,0,0
226,7/8/2018 21:13,7/8/2018,-1.330334,36.889867,1,0,0,0,0
227,7/9/2018 8:42,7/9/2018,-1.289546,36.7616,1,0,0,0,0
228,7/9/2018 13:01,7/9/2018,-1.246407,36.868857,1,0,0,0,0
229,7/9/2018 14:45,7/9/2018,-1.345364,36.9024745,1,0,0,0,0
230,7/9/2018 16:33,7/9/2018,-1.285487,36.791054,1,0,0,0,0
231,7/9/2018 17:27,7/9/2018,-1.118192,37.010204,1,0,0,0,0
232,7/9/2018 18:18,7/9/2018,-1.263269,36.757668,1,0,0,0,0
233,7/9/2018 19:09,7/9/2018,-1.2195405,36.891369,1,0,0,1,1
234,7/10/2018 8:06,7/10/2018,-1.259942,36.843874,1,0,0,0,0
235,7/10/2018 15:09,7/10/2018,-0.372115,35.2823525,1,1,0,0,1
236,7/10/2018 19:27,7/10/2018,-1.234881,36.671483,1,0,0,0,0
237,7/10/2018 19:51,7/10/2018,-1.225011,36.705686,1,0,0,0,0
238,7/10/2018 20:41,7/10/2018,-1.329883,36.870701,1,0,0,0,1
239,7/11/2018 6:11,7/11/2018,-1.351218,36.905734,1,0,0,0,0
240,7/11/2018 6:12,7/11/2018,-1.360121,36.908146,1,0,0,0,0
241,7/11/2018 6:30,7/11/2018,-0.940619,36.620657,1,0,0,1,0
242,7/11/2018 8:43,7/11/2018,-1.2785164,36.82129125,1,0,0,1,0
243,7/11/2018 8:58,7/11/2018,-1.274486,36.7983945,1,0,0,0,0
244,7/11/2018 12:12,7/11/2018,-1.45238,37.000924,1,0,0,0,0
245,7/11/2018 13:16,7/11/2018,-1.148683,36.958992,1,0,0,0,0
246,7/11/2018 17:08,7/11/2018,-1.30527,36.832769,1,0,0,0,0
247,7/11/2018 17:36,7/11/2018,-1.277958,36.813952,1,0,1,0,0
248,7/12/2018 6:58,7/12/2018,-1.300027,36.777157,1,0,0,0,0
249,7/12/2018 15:38,7/12/2018,-1.218826,36.891298,1,0,0,0,0
250,7/13/2018 7:08,7/13/2018,-1.25781,36.700915,1,0,0,0,0
251,7/15/2018 13:15,7/15/2018,-1.29890707,36.77939484,1,0,0,0,0
252,7/15/2018 18:38,7/15/2018,-1.053377,36.630913,1,0,0,0,0
253,7/15/2018 21:45,7/15/2018,-1.294684681,36.85307892,1,0,0,1,0
254,7/16/2018 6:50,7/16/2018,-1.395628367,36.94102487,1,0,0,0,0
255,7/16/2018 7:19,7/16/2018,-1.405483661,36.94613746,1,0,0,0,0
256,7/16/2018 7:42,7/16/2018,-1.242889,36.677106,1,1,0,0,0
257,7/16/2018 9:09,7/16/2018,-1.23995,36.844179,1,0,0,0,0
258,7/16/2018 10:38,7/16/2018,-1.250033,36.846732,1,0,0,0,0
259,7/16/2018 11:07,7/16/2018,-1.245571,36.845404,1,0,0,0,0
260,7/16/2018 14:03,7/16/2018,-1.3691612,36.9168082,1,0,0,0,0
261,7/17/2018 5:04,7/17/2018,-1.259545914,36.77552519,1,0,0,0,0
262,7/17/2018 8:41,7/17/2018,-1.365265,36.911847,1,0,0,0,0
263,7/17/2018 8:48,7/17/2018,-1.262012186,36.87304721,1,0,0,1,0
264,7/17/2018 16:05,7/17/2018,-1.247735,36.81602,1,0,0,0,0
265,7/17/2018 17:40,7/17/2018,-1.106973,37.015485,1,0,0,0,0
266,7/17/2018 20:50,7/17/2018,-1.319666,36.838437,1,0,0,0,1
267,7/18/2018 6:37,7/18/2018,-1.259436525,36.78603644,1,0,0,0,0
268,7/18/2018 7:21,7/18/2018,-1.260167,36.790596,1,0,0,0,0
269,7/18/2018 7:26,7/18/2018,-1.260259853,36.77113505,1,0,0,0,0
270,7/18/2018 20:00,7/18/2018,-1.266699449,36.80352345,1,0,0,0,0
271,7/18/2018 21:03,7/18/2018,-1.32560138,36.79449221,1,0,0,0,0
272,7/18/2018 21:33,7/18/2018,-1.188830907,36.9314266,1,0,0,0,1
273,7/19/2018 8:30,7/19/2018,-1.164806,36.957244,1,0,0,0,0
274,7/19/2018 10:19,7/19/2018,-1.33119208,36.88856874,1,0,0,0,0
275,7/19/2018 16:46,7/19/2018,-1.257454,36.826709,1,0,0,0,0
276,7/19/2018 23:27,7/19/2018,-1.335453,36.892747,1,0,0,0,0
277,7/20/2018 6:08,7/20/2018,-1.224276,36.886716,1,0,0,0,0
278,7/20/2018 6:58,7/20/2018,-1.319504,36.906722,1,0,0,0,0
279,7/20/2018 21:15,7/20/2018,-1.2562187,36.8552686,1,0,0,0,0
280,7/21/2018 4:02,7/21/2018,-1.32381574,36.84490437,1,0,0,0,0
281,7/21/2018 9:15,7/21/2018,-1.195786185,36.83826736,1,0,0,0,0
282,7/21/2018 9:17,7/21/2018,-1.21866,36.83586,1,0,0,0,0
283,7/21/2018 14:06,7/21/2018,-0.805883,36.532611,1,0,0,0,0
284,7/21/2018 20:21,7/21/2018,-1.297014367,36.87565808,1,1,1,0,0
285,7/22/2018 14:18,7/22/2018,-1.354166955,36.90668421,1,0,0,0,0
286,7/22/2018 21:02,7/22/2018,-1.312572,36.829934,1,0,0,0,0
287,7/23/2018 6:37,7/23/2018,-1.2774841,36.8211912,1,0,0,0,0
288,7/23/2018 7:34,7/23/2018,-1.02398,37.066899,1,0,0,1,0
289,7/23/2018 11:15,7/23/2018,-1.25971,36.786735,1,0,0,0,0
290,7/24/2018 5:11,7/24/2018,-1.289546,36.761635,1,0,0,0,0
291,7/24/2018 6:25,7/24/2018,-1.28051073,36.96433483,1,0,0,1,0
292,7/24/2018 6:32,7/24/2018,-1.3196244,36.8383712,1,0,0,1,0
293,7/24/2018 9:45,7/24/2018,-1.236467,36.806911,1,0,0,0,0
294,7/24/2018 14:07,7/24/2018,-1.142937,36.966611,1,0,0,0,0
295,7/24/2018 19:30,7/24/2018,-1.259759,36.844339,1,0,0,0,0
296,7/25/2018 6:31,7/25/2018,-1.2641004,36.7542523,1,0,0,0,0
297,7/25/2018 6:49,7/25/2018,-1.28176092,36.81497523,1,1,1,0,0
298,7/25/2018 7:27,7/25/2018,-1.259911,36.843977,1,0,0,0,0
299,7/25/2018 7:40,7/25/2018,-1.283269,36.824646,1,0,0,0,0
300,7/25/2018 7:45,7/25/2018,-1.2184363,36.8914368,1,0,0,0,0
301,7/25/2018 12:28,7/25/2018,-1.2381308,36.8439714,1,0,0,1,0
302,7/26/2018 14:12,7/26/2018,-1.244967,36.866891,1,0,0,0,1
303,7/26/2018 15:36,7/26/2018,-1.3256014,36.7944922,1,0,0,0,0
304,7/27/2018 16:25,7/27/2018,-1.25944,36.7756735,1,0,0,0,0
305,7/27/2018 17:08,7/27/2018,-1.274329,36.812513,1,0,0,0,0
