crash_id,crash_datetime,crash_date,hour,month,year,day_of_week,latitude,longitude,severity,contains_fatality_words,contains_pedestrian_words,contains_motorcycle_words,contains_matatu_words,road_user_type,n_crash_reports
75,2018-06-07 06:31:00,2018-06-07,6,6,2018,Thursday,-1.260699,36.716544,Non-Fatal,0,0,0,0,Other,1
76,2018-06-07 06:50:00,2018-06-07,6,6,2018,Thursday,-1.278127,36.8214565,Non-Fatal,0,0,0,0,Other,1
77,2018-06-07 08:12:00,2018-06-07,8,6,2018,Thursday,-1.364719,36.911405,Non-Fatal,0,0,0,0,Other,1
78,2018-06-07 08:15:00,2018-06-07,8,6,2018,Thursday,-1.3339635,36.779085,Non-Fatal,0,0,0,0,Other,1
79,2018-06-07 14:46:00,2018-06-07,14,6,2018,Thursday,-1.300187,36.7743565,Non-Fatal,0,0,0,0,Other,1
80,2018-06-07 14:48:00,2018-06-07,14,6,2018,Thursday,-1.227037,36.882905,Non-Fatal,0,0,0,0,Other,1
81,2018-06-07 16:29:00,2018-06-07,16,6,2018,Thursday,-1.372598,36.920491,Non-Fatal,0,0,0,0,Other,1
82,2018-06-07 18:52:00,2018-06-07,18,6,2018,Thursday,-1.190474,36.739465,Non-Fatal,0,0,0,0,Other,1
83,2018-06-07 21:28:00,2018-06-07,21,6,2018,Thursday,-1.136438,36.97028,Non-Fatal,0,0,0,0,Other,1
84,2018-06-08 05:17:00,2018-06-08,5,6,2018,Friday,-1.525206,37.121076,Non-Fatal,0,0,0,0,Other,1
85,2018-06-08 06:41:00,2018-06-08,6,6,2018,Friday,-1.343014,36.765581,Non-Fatal,0,0,0,0,Other,1
86,2018-06-08 07:06:00,2018-06-08,7,6,2018,Friday,-1.332986,36.80054,Non-Fatal,0,0,0,0,Other,1
87,2018-06-08 07:28:00,2018-06-08,7,6,2018,Friday,-1.039962,37.068619,Non-Fatal,0,0,0,1,Matatu,1
88,2018-06-08 07:29:00,2018-06-08,7,6,2018,Friday,-1.317394,36.812597,Non-Fatal,0,0,0,0,Other,1
89,2018-06-08 07:44:00,2018-06-08,7,6,2018,Friday,-1.328397,36.800541,Non-Fatal,0,0,0,0,Other,1
90,2018-06-08 10:43:00,2018-06-08,10,6,2018,Friday,-1.260901,36.71664,Non-Fatal,0,0,0,0,Other,1
91,2018-06-08 11:28:00,2018-06-08,11,6,2018,Friday,-1.272665,36.808979,Non-Fatal,0,0,0,0,Other,1
92,2018-06-08 13:05:00,2018-06-08,13,6,2018,Friday,-1.27496,36.818027,Non-Fatal,0,0,0,0,Other,1
93,2018-06-08 15:30:00,2018-06-08,15,6,2018,Friday,-1.492577,37.055126,Non-Fatal,0,0,0,0,Other,1
94,2018-06-09 08:12:00,2018-06-09,8,6,2018,Saturday,-1.299726,36.824457,Non-Fatal,0,0,0,1,Matatu,1
95,2018-06-09 08:38:00,2018-06-09,8,6,2018,Saturday,-1.305172,36.754582,Non-Fatal,0,0,0,0,Other,1
96,2018-06-09 10:54:00,2018-06-09,10,6,2018,Saturday,-1.292437,36.805122,Non-Fatal,0,0,1,0,Motorcycle,1
97,2018-06-09 11:56:00,2018-06-09,11,6,2018,Saturday,-1.252175,36.959263,Non-Fatal,0,0,0,0,Other,1
98,2018-06-09 19:59:00,2018-06-09,19,6,2018,Saturday,-1.274917,36.823408,Non-Fatal,0,0,0,0,Other,1
99,2018-06-09 20:15:00,2018-06-09,20,6,2018,Saturday,-1.307371,36.889824,Non-Fatal,0,1,0,0,Pedestrian,1
100,2018-06-09 20:36:00,2018-06-09,20,6,2018,Saturday,-1.3228495,36.8990795,Non-Fatal,0,0,0,0,Other,1
101,2018-06-09 22:34:00,2018-06-09,22,6,2018,Saturday,-1.259203,36.842383,Non-Fatal,0,0,0,0,Other,1
102,2018-06-10 02:34:00,2018-06-10,2,6,2018,Sunday,-1.1711185,36.9725295,Fatal,1,0,0,0,Other,1
103,2018-06-10 12:21:00,2018-06-10,12,6,2018,Sunday,-1.300044,36.7872145,Non-Fatal,0,1,0,0,Pedestrian,1
104,2018-06-10 18:02:00,2018-06-10,18,6,2018,Sunday,-1.206032,36.914291,Non-Fatal,0,0,0,0,Other,1
105,2018-06-10 18:10:00,2018-06-10,18,6,2018,Sunday,-1.210347,36.90942,Non-Fatal,0,0,0,0,Other,1
106,2018-06-10 18:24:00,2018-06-10,18,6,2018,Sunday,-1.215691,36.895632,Non-Fatal,0,0,0,0,Other,1
107,2018-06-10 18:59:00,2018-06-10,18,6,2018,Sunday,-1.131297,36.982169,Non-Fatal,0,0,0,0,Other,1
108,2018-06-11 09:12:00,2018-06-11,9,6,2018,Monday,-1.259459,36.844829,Non-Fatal,0,1,0,0,Pedestrian,1
109,2018-06-11 14:35:00,2018-06-11,14,6,2018,Monday,-1.2967465,36.8760185,Non-Fatal,0,0,1,1,Matatu,1
110,2018-06-11 18:48:00,2018-06-11,18,6,2018,Monday,-1.259999,36.895915,Non-Fatal,0,0,0,0,Other,1
111,2018-06-12 07:35:00,2018-06-12,7,6,2018,Tuesday,-1.263123,36.838843,Non-Fatal,0,0,0,0,Other,1
112,2018-06-12 08:06:00,2018-06-12,8,6,2018,Tuesday,-1.299826,36.824192,Non-Fatal,0,0,0,0,Other,1
113,2018-06-12 14:38:00,2018-06-12,14,6,2018,Tuesday,-1.297632,36.869754,Non-Fatal,0,0,1,0,Motorcycle,1
114,2018-06-12 18:47:00,2018-06-12,18,6,2018,Tuesday,-1.2515222,36.93756,Non-Fatal,0,0,0,0,Other,1
115,2018-06-12 19:24:00,2018-06-12,19,6,2018,Tuesday,-1.292918,36.820308,Non-Fatal,0,0,0,0,Other,1
116,2018-06-12 20:43:00,2018-06-12,20,6,2018,Tuesday,-1.177645,36.915433,Non-Fatal,0,0,0,0,Other,1
117,2018-06-13 06:06:00,2018-06-13,6,6,2018,Wednesday,-1.285249,36.819619,Non-Fatal,0,0,0,0,Other,1
118,2018-06-13 06:32:00,2018-06-13,6,6,2018,Wednesday,-1.3291645,36.870969,Non-Fatal,0,0,0,1,Matatu,1
119,2018-06-13 06:36:00,2018-06-13,6,6,2018,Wednesday,-1.20004,36.920365,Non-Fatal,0,0,0,0,Other,1
120,2018-06-13 15:44:00,2018-06-13,15,6,2018,Wednesday,-1.32681,36.852673,Non-Fatal,0,0,1,0,Motorcycle,1
